"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",2,"Arusha_Arusha Urban",0.8988,0.9076,0.8087,0.9574,0.1487,0.503
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",2,"Arusha_Karatu",0.9161,0.9241,0.8358,0.9684,0.1327,0.5527
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",2,"Arusha_Lake Eyasi",0.8223,0.8494,0.594,0.9509,0.3568,0.7469
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",2,"Arusha_Lake Manyara",0.8411,0.8655,0.6382,0.9605,0.3224,0.7533
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",2,"Arusha_Longido",0.717,0.7298,0.5347,0.8551,0.3204,0.3589
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",2,"Arusha_Meru",0.8251,0.8402,0.6725,0.9255,0.2529,0.4801
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",2,"Arusha_Monduli",0.788,0.802,0.6104,0.9144,0.304,0.471
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",2,"Arusha_Ngorongoro",0.6919,0.7042,0.4836,0.8598,0.3761,0.3786
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",2,"Dar es Salaam_Ilala",0.9483,0.9488,0.9293,0.9644,0.03511,0.2078
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",2,"Dar es Salaam_Kinondoni",0.9561,0.9572,0.9368,0.9704,0.03358,0.2384
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",2,"Dar es Salaam_Temeke",0.9241,0.9254,0.8999,0.9445,0.0446,0.1796
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",2,"Dodoma_Bahi",0.5825,0.5862,0.4293,0.7184,0.289,0.2149
